episode,difficulty,reference_depth,candidate_instances,hard_constraints,unresolved_references,groundplan_hcs,osgllm_hcs
procthor/003_valunseen/instruction_000001,easy,2,7,1,0,1.0,1.0
procthor/003_valunseen/instruction_000002,easy,3,1,1,0,1.0,1.0
procthor/003_valunseen/instruction_000003,easy,3,3,1,0,1.0,0.0
procthor/003_valunseen/instruction_000004,easy,3,17,1,0,0.0,0.0
procthor/003_valunseen/instruction_000005,easy,4,22,2,0,1.0,0.0
procthor/003_valunseen/instruction_000006,easy,3,7,2,0,1.0,0.0
procthor/003_valunseen/instruction_000007,easy,3,8,2,0,0.5,0.0
procthor/003_valunseen/instruction_000008,easy,2,7,2,0,1.0,0.0
procthor/003_valunseen/instruction_000009,easy,3,3,1,0,1.0,0.0
procthor/003_valunseen/instruction_000010,easy,3,8,1,0,0.0,0.0
procthor/003_valunseen/instruction_000011,easy,2,7,3,1,1.0,0.0
procthor/003_valunseen/instruction_000012,easy,2,6,2,0,1.0,0.0
procthor/003_valunseen/instruction_000013,easy,4,6,1,1,1.0,1.0
procthor/003_valunseen/instruction_000014,easy,3,17,3,0,0.6666666666666666,0.0
procthor/003_valunseen/instruction_000015,easy,2,3,1,0,0.0,0.0
procthor/003_valunseen/instruction_000016,easy,2,2,2,1,1.0,0.5
procthor/003_valunseen/instruction_000017,easy,3,8,1,1,0.0,0.0
procthor/006_valunseen/instruction_000001,easy,3,8,1,0,1.0,0.0
procthor/006_valunseen/instruction_000002,easy,3,8,1,0,0.0,0.0
procthor/006_valunseen/instruction_000003,easy,3,8,1,0,1.0,0.0
procthor/006_valunseen/instruction_000004,easy,3,74,3,0,0.0,0.0
procthor/006_valunseen/instruction_000005,easy,2,4,1,0,1.0,0.0
procthor/006_valunseen/instruction_000006,easy,4,17,1,0,1.0,1.0
procthor/006_valunseen/instruction_000007,easy,2,8,1,0,0.0,1.0
procthor/006_valunseen/instruction_000008,easy,1,5,1,0,1.0,1.0
procthor/006_valunseen/instruction_000009,easy,3,22,2,0,1.0,0.0
procthor/006_valunseen/instruction_000010,easy,1,6,2,0,1.0,0.0
procthor/006_valunseen/instruction_000011,easy,3,5,1,0,1.0,0.0
procthor/006_valunseen/instruction_000012,easy,2,5,1,0,1.0,1.0
procthor/006_valunseen/instruction_000013,easy,2,2,1,0,1.0,0.0
procthor/006_valunseen/instruction_000014,easy,4,8,1,0,0.0,0.0
procthor/006_valunseen/instruction_000015,easy,2,2,2,0,1.0,0.0
procthor/006_valunseen/instruction_000016,easy,3,2,2,0,1.0,0.0
procthor/006_valunseen/instruction_000017,easy,1,1,1,0,1.0,1.0
procthor/006_valunseen/instruction_000018,easy,2,2,1,0,1.0,0.0
procthor/009_valunseen/instruction_000001,easy,2,4,1,0,1.0,0.0
procthor/009_valunseen/instruction_000002,easy,4,10,1,0,1.0,0.0
procthor/009_valunseen/instruction_000003,easy,3,10,2,0,0.0,0.0
procthor/009_valunseen/instruction_000004,easy,4,3,1,0,1.0,0.0
procthor/009_valunseen/instruction_000005,easy,3,19,1,0,0.0,0.0
procthor/009_valunseen/instruction_000006,easy,3,2,1,0,1.0,0.0
procthor/009_valunseen/instruction_000007,easy,3,10,1,0,1.0,1.0
procthor/009_valunseen/instruction_000008,easy,2,3,1,0,1.0,1.0
procthor/009_valunseen/instruction_000009,easy,4,19,1,0,1.0,0.0
procthor/009_valunseen/instruction_000010,easy,4,19,2,0,0.0,0.0
procthor/009_valunseen/instruction_000011,easy,2,2,4,0,1.0,0.25
procthor/009_valunseen/instruction_000012,easy,2,4,2,0,1.0,0.0
procthor/009_valunseen/instruction_000013,easy,4,9,2,0,1.0,0.0
